timestamp,price_eur_mwh,volume_mwh
2025-07-13 09:53:25,56.39,893.58
2025-07-13 10:53:25,53.77,696.26
2025-07-13 11:53:25,47.83,667.89
2025-07-13 12:53:25,52.57,685.15
2025-07-13 13:53:25,56.87,399.82
2025-07-13 14:53:25,52.1,579.0
2025-07-13 15:53:25,48.23,967.06
2025-07-13 16:53:25,57.25,812.63
2025-07-13 17:53:25,48.05,133.68
2025-07-13 18:53:25,60.94,473.6
2025-07-13 19:53:25,50.83,837.98
2025-07-13 20:53:25,42.33,874.08
2025-07-13 21:53:25,48.02,715.0
2025-07-13 22:53:25,33.22,550.1
2025-07-13 23:53:25,31.56,185.96
2025-07-14 00:53:25,38.65,596.57
2025-07-14 01:53:25,46.97,924.35
2025-07-14 02:53:25,40.25,281.08
2025-07-14 03:53:25,36.87,546.74
2025-07-14 04:53:25,42.62,269.88
2025-07-14 05:53:25,41.34,592.39
2025-07-14 06:53:25,39.86,224.22
2025-07-14 07:53:25,50.39,198.63
2025-07-14 08:53:25,58.63,154.15
2025-07-14 09:53:25,60.37,563.36
2025-07-14 10:53:25,63.86,502.38
2025-07-14 11:53:25,58.05,215.13
2025-07-14 12:53:25,57.45,593.74
2025-07-14 13:53:25,61.06,711.19
2025-07-14 14:53:25,53.46,378.48
2025-07-14 15:53:25,56.4,123.19
2025-07-14 16:53:25,60.75,397.26
2025-07-14 17:53:25,58.62,759.93
2025-07-14 18:53:25,58.91,151.12
2025-07-14 19:53:25,61.87,604.64
2025-07-14 20:53:25,41.93,686.42
2025-07-14 21:53:25,57.15,945.57
2025-07-14 22:53:25,46.36,830.04
2025-07-14 23:53:25,44.45,739.77
2025-07-15 00:53:25,32.48,673.54
2025-07-15 01:53:25,44.63,505.83
2025-07-15 02:53:25,36.28,839.57
2025-07-15 03:53:25,34.15,260.18
2025-07-15 04:53:25,45.54,510.74
2025-07-15 05:53:25,40.24,836.31
2025-07-15 06:53:25,37.01,961.72
2025-07-15 07:53:25,44.42,889.95
2025-07-15 08:53:25,54.27,712.3
2025-07-15 09:53:25,65.36,157.45
2025-07-15 10:53:25,56.94,269.38
2025-07-15 11:53:25,60.22,312.01
2025-07-15 12:53:25,60.4,811.08
2025-07-15 13:53:25,60.19,234.48
2025-07-15 14:53:25,51.85,632.67
2025-07-15 15:53:25,60.75,672.99
2025-07-15 16:53:25,56.91,909.26
2025-07-15 17:53:25,62.73,403.55
2025-07-15 18:53:25,64.23,452.1
2025-07-15 19:53:25,66.89,349.01
2025-07-15 20:53:25,46.32,621.57
2025-07-15 21:53:25,54.88,531.75
2025-07-15 22:53:25,46.21,135.42
2025-07-15 23:53:25,34.71,590.58
2025-07-16 00:53:25,41.44,311.04
2025-07-16 01:53:25,41.43,368.88
2025-07-16 02:53:25,41.3,248.24
2025-07-16 03:53:25,41.58,254.99
2025-07-16 04:53:25,34.82,555.23
2025-07-16 05:53:25,40.98,301.51
2025-07-16 06:53:25,45.27,462.87
2025-07-16 07:53:25,55.43,758.56
2025-07-16 08:53:25,63.19,529.6
2025-07-16 09:53:25,56.26,962.13
2025-07-16 10:53:25,65.49,569.12
2025-07-16 11:53:25,67.2,531.96
2025-07-16 12:53:25,69.06,442.78
2025-07-16 13:53:25,56.09,687.68
2025-07-16 14:53:25,62.3,852.4
2025-07-16 15:53:25,57.38,701.77
2025-07-16 16:53:25,58.28,914.95
2025-07-16 17:53:25,61.26,525.26
2025-07-16 18:53:25,54.17,747.41
2025-07-16 19:53:25,60.33,623.94
2025-07-16 20:53:25,49.58,841.81
2025-07-16 21:53:25,47.73,862.8
2025-07-16 22:53:25,43.9,151.6
2025-07-16 23:53:25,47.01,290.41
2025-07-17 00:53:25,37.88,802.94
2025-07-17 01:53:25,46.38,174.14
2025-07-17 02:53:25,36.93,704.8
2025-07-17 03:53:25,43.28,730.2
2025-07-17 04:53:25,39.96,864.1
2025-07-17 05:53:25,35.61,701.5
2025-07-17 06:53:25,41.01,619.51
2025-07-17 07:53:25,47.92,547.05
2025-07-17 08:53:25,54.7,746.34
2025-07-17 09:53:25,61.93,357.59
2025-07-17 10:53:25,62.8,283.57
2025-07-17 11:53:25,58.0,814.5
2025-07-17 12:53:25,54.9,209.42
2025-07-17 13:53:25,62.27,174.97
2025-07-17 14:53:25,66.62,624.86
2025-07-17 15:53:25,61.69,183.84
2025-07-17 16:53:25,65.53,793.83
2025-07-17 17:53:25,52.9,962.25
2025-07-17 18:53:25,66.73,849.58
2025-07-17 19:53:25,61.58,484.32
2025-07-17 20:53:25,44.88,511.66
2025-07-17 21:53:25,56.12,345.4
2025-07-17 22:53:25,43.98,414.05
2025-07-17 23:53:25,36.51,430.44
2025-07-18 00:53:25,35.96,177.25
2025-07-18 01:53:25,35.96,686.89
2025-07-18 02:53:25,37.14,364.81
2025-07-18 03:53:25,40.2,612.07
2025-07-18 04:53:25,35.61,797.13
2025-07-18 05:53:25,36.55,758.68
2025-07-18 06:53:25,44.81,403.2
2025-07-18 07:53:25,50.38,910.45
2025-07-18 08:53:25,55.99,790.37
2025-07-18 09:53:25,69.08,639.35
2025-07-18 10:53:25,60.83,796.08
2025-07-18 11:53:25,65.45,897.49
2025-07-18 12:53:25,55.35,770.22
2025-07-18 13:53:25,59.63,462.58
2025-07-18 14:53:25,58.78,235.79
2025-07-18 15:53:25,65.69,741.25
2025-07-18 16:53:25,52.35,320.19
2025-07-18 17:53:25,58.17,642.81
2025-07-18 18:53:25,69.38,667.25
2025-07-18 19:53:25,51.06,825.85
2025-07-18 20:53:25,54.14,717.4
2025-07-18 21:53:25,41.54,372.45
2025-07-18 22:53:25,39.12,670.05
2025-07-18 23:53:25,49.17,456.88
2025-07-19 00:53:25,40.76,210.61
2025-07-19 01:53:25,41.27,349.77
2025-07-19 02:53:25,35.18,360.36
2025-07-19 03:53:25,30.91,806.01
2025-07-19 04:53:25,33.44,163.07
2025-07-19 05:53:25,32.15,876.96
2025-07-19 06:53:25,29.38,556.19
2025-07-19 07:53:25,52.42,852.51
2025-07-19 08:53:25,56.41,449.01
2025-07-19 09:53:25,56.07,901.98
2025-07-19 10:53:25,56.68,727.66
